model_set,model_key,scope,camera,beach,island,p90,relMAE_all,relMAE_summer,relMAE_season,is_best
lstm_run_20260521_171426,15d,per_beach,es-pujols,Es Pujols,,30.0,0.0519,0.0828,0.0633,False
lstm_run_20260521_171426,15d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0248,0.0358,0.0363,False
lstm_run_20260521_171426,15d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0326,0.0696,0.0484,False
lstm_run_20260521_171426,15d,per_beach,marina,Marina,,10.0,0.0619,0.0456,0.0469,False
lstm_run_20260521_171426,15d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.0452,,0.0502,False
lstm_run_20260521_171426,15d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1429,0.1826,0.1711,False
lstm_run_20260521_171426,15d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0034,0.0024,0.0033,False
lstm_run_20260521_171426,15d,per_beach,port,Port,,6.0,0.0196,0.0285,0.0286,False
lstm_run_20260521_171426,15d,per_beach,cala-gat,Cala Gat,,4.0,0.1444,,,False
lstm_run_20260521_171426,15d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.1553,,,False
lstm_run_20260521_171426,15d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1391,,0.1296,False
lstm_run_20260521_171426,15d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0849,,0.1082,False
lstm_run_20260521_171426,15d,per_beach,port-pollenca,Port Pollença,,34.0,0.046,,0.0435,False
lstm_run_20260521_171426,15d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0145,,,False
lstm_run_20260521_171426,15d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0087,,0.0141,False
lstm_run_20260521_171426,15d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1706,,0.2023,False
lstm_run_20260522_092821,3d,OVERALL,ALL,,,,0.0731,0.1014,0.0878,False
lstm_run_20260522_092821,3d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.083,,0.0884,False
lstm_run_20260522_092821,3d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.1137,0.1435,0.1324,False
lstm_run_20260522_092821,3d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.1769,,0.1769,False
lstm_run_20260522_092821,3d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0136,,0.0146,False
lstm_run_20260522_092821,3d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0516,0.0609,0.0561,False
lstm_run_20260522_092821,3d,per_beach,port-dandratx,Brismar,,41.0,0.062,0.0729,0.064,False
lstm_run_20260522_092821,3d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0472,0.061,0.055,False
lstm_run_20260522_092821,3d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.2167,0.2279,0.2167,False
lstm_run_20260522_092821,3d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0991,0.1799,0.1251,False
lstm_run_20260522_092821,3d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.2113,0.25,0.2113,False
lstm_run_20260522_092821,3d,per_beach,port-dandratx_2,Brismar,,288.0,0.1458,,0.1154,False
lstm_run_20260522_092821,3d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0526,0.0419,0.0519,False
lstm_run_20260522_092821,3d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0727,,0.0832,False
lstm_run_20260522_092821,3d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0807,0.0664,0.0707,False
lstm_run_20260522_092821,3d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0308,0.0522,0.0329,False
lstm_run_20260522_092821,3d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.1248,0.1114,0.1185,False
lstm_run_20260522_092821,3d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0514,,0.0151,False
lstm_run_20260522_092821,3d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0324,,0.0463,False
lstm_run_20260522_092821,3d,per_beach,andratx,Brismar,,0.0,0.0,0.0,0.0,False
lstm_run_20260522_092821,3d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0706,0.073,0.0792,False
lstm_run_20260522_092821,3d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0357,0.0408,0.0406,False
lstm_run_20260522_092821,3d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0772,0.1009,0.0841,False
lstm_run_20260522_092821,3d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0747,,0.0827,False
lstm_run_20260522_092821,3d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.1477,0.2398,0.1999,False
lstm_run_20260522_092821,3d,per_beach,platja-marina,Marina,,10.0,0.0529,0.0773,0.0735,False
lstm_run_20260522_092821,3d,per_beach,cala-agulla,Cala Agulla,,8.0,0.0622,,0.0761,False
lstm_run_20260522_092821,3d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1858,0.2835,0.2032,False
lstm_run_20260522_092821,3d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.012,0.0195,0.0184,False
lstm_run_20260522_092821,3d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0843,0.1569,0.1361,False
lstm_run_20260522_092821,3d,per_beach,es-pujols,Es Pujols,,30.0,0.0554,0.0923,0.0684,False
lstm_run_20260522_092821,3d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0299,0.0471,0.0428,False
lstm_run_20260522_092821,3d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0363,0.0764,0.0509,False
lstm_run_20260522_092821,3d,per_beach,marina,Marina,,10.0,0.0645,0.0359,0.0487,False
lstm_run_20260522_092821,3d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.049,,0.0576,False
lstm_run_20260522_092821,3d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1424,0.1913,0.1775,False
lstm_run_20260522_092821,3d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0028,0.0021,0.0025,False
lstm_run_20260522_092821,3d,per_beach,port,Port,,6.0,0.0197,0.0295,0.0294,False
lstm_run_20260522_092821,3d,per_beach,cala-gat,Cala Gat,,4.0,0.0592,,,False
lstm_run_20260522_092821,3d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.0654,,,False
lstm_run_20260522_092821,3d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1231,,0.1153,False
lstm_run_20260522_092821,3d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0851,,0.1021,False
lstm_run_20260522_092821,3d,per_beach,port-pollenca,Port Pollença,,34.0,0.0403,,0.0414,False
lstm_run_20260522_092821,3d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0337,,0.0147,False
lstm_run_20260522_092821,3d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0207,,0.0087,False
lstm_run_20260522_092821,3d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1711,,0.2436,False
lstm_run_20260522_092821,10d,OVERALL,ALL,,,,0.0707,0.0971,0.0849,False
lstm_run_20260522_092821,10d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.0883,,0.1072,False
lstm_run_20260522_092821,10d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.1072,0.1318,0.1232,False
lstm_run_20260522_092821,10d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.1653,,0.1653,False
lstm_run_20260522_092821,10d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0155,,0.0162,False
lstm_run_20260522_092821,10d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0472,0.0568,0.0516,False
lstm_run_20260522_092821,10d,per_beach,port-dandratx,Brismar,,41.0,0.0607,0.0719,0.0617,False
lstm_run_20260522_092821,10d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0442,0.056,0.051,False
lstm_run_20260522_092821,10d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.1973,0.2077,0.1973,False
lstm_run_20260522_092821,10d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0908,0.1616,0.1153,False
lstm_run_20260522_092821,10d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.187,0.2271,0.187,False
lstm_run_20260522_092821,10d,per_beach,port-dandratx_2,Brismar,,288.0,0.1609,,0.1506,False
lstm_run_20260522_092821,10d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0483,0.0443,0.0464,False
lstm_run_20260522_092821,10d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0552,,0.0682,False
lstm_run_20260522_092821,10d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0785,0.071,0.0737,False
lstm_run_20260522_092821,10d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0295,0.0528,0.0321,False
lstm_run_20260522_092821,10d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.1236,0.1067,0.1196,False
lstm_run_20260522_092821,10d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0406,,,False
lstm_run_20260522_092821,10d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0268,,0.0376,False
lstm_run_20260522_092821,10d,per_beach,andratx,Brismar,,0.0,0.0002,0.0003,0.0003,False
lstm_run_20260522_092821,10d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0707,0.0736,0.0819,False
lstm_run_20260522_092821,10d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0336,0.0391,0.0383,False
lstm_run_20260522_092821,10d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0726,0.0985,0.0789,False
lstm_run_20260522_092821,10d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0765,,0.0874,False
lstm_run_20260522_092821,10d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.167,0.2838,0.2225,False
lstm_run_20260522_092821,10d,per_beach,platja-marina,Marina,,10.0,0.0491,0.0713,0.0683,False
lstm_run_20260522_092821,10d,per_beach,cala-agulla,Cala Agulla,,8.0,0.0578,,0.077,False
lstm_run_20260522_092821,10d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1739,0.2582,0.1905,False
lstm_run_20260522_092821,10d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.0119,0.0195,0.0183,False
lstm_run_20260522_092821,10d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0786,0.1354,0.1282,False
lstm_run_20260522_092821,10d,per_beach,es-pujols,Es Pujols,,30.0,0.0508,0.0853,0.0634,False
lstm_run_20260522_092821,10d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0275,0.0433,0.0385,False
lstm_run_20260522_092821,10d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0323,0.0683,0.0459,False
lstm_run_20260522_092821,10d,per_beach,marina,Marina,,10.0,0.0623,0.034,0.0463,False
lstm_run_20260522_092821,10d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.0434,,0.0509,False
lstm_run_20260522_092821,10d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.144,0.1878,0.1802,False
lstm_run_20260522_092821,10d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0031,0.0032,0.0032,False
lstm_run_20260522_092821,10d,per_beach,port,Port,,6.0,0.0201,0.0306,0.0304,False
lstm_run_20260522_092821,10d,per_beach,cala-gat,Cala Gat,,4.0,0.0969,,,False
lstm_run_20260522_092821,10d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.1178,,,False
lstm_run_20260522_092821,10d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.153,,0.1114,False
lstm_run_20260522_092821,10d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0785,,0.0924,False
lstm_run_20260522_092821,10d,per_beach,port-pollenca,Port Pollença,,34.0,0.0519,,0.0397,False
lstm_run_20260522_092821,10d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0286,,,False
lstm_run_20260522_092821,10d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0176,,,False
lstm_run_20260522_092821,10d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1959,,0.2354,False
lstm_run_20260522_092821,15d,OVERALL,ALL,,,,0.0689,0.097,0.0821,False
lstm_run_20260522_092821,15d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.0759,,0.0889,False
lstm_run_20260522_092821,15d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.099,0.1189,0.1151,False
lstm_run_20260522_092821,15d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.1443,,0.1443,False
lstm_run_20260522_092821,15d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0181,,0.0138,False
lstm_run_20260522_092821,15d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0466,0.0582,0.0517,False
lstm_run_20260522_092821,15d,per_beach,port-dandratx,Brismar,,41.0,0.0634,0.0726,0.0641,False
lstm_run_20260522_092821,15d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0437,0.0582,0.0507,False
lstm_run_20260522_092821,15d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.1531,0.153,0.1531,False
lstm_run_20260522_092821,15d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0782,0.1261,0.0957,False
lstm_run_20260522_092821,15d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.1778,0.1926,0.1778,False
lstm_run_20260522_092821,15d,per_beach,port-dandratx_2,Brismar,,288.0,0.1561,,0.1548,False
lstm_run_20260522_092821,15d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0465,0.0444,0.0463,False
lstm_run_20260522_092821,15d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0591,,0.065,False
lstm_run_20260522_092821,15d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0773,0.0728,0.0707,False
lstm_run_20260522_092821,15d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0286,0.043,0.0302,False
lstm_run_20260522_092821,15d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.1127,0.0969,0.1037,False
lstm_run_20260522_092821,15d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0546,,,False
lstm_run_20260522_092821,15d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0314,,0.0376,False
lstm_run_20260522_092821,15d,per_beach,andratx,Brismar,,0.0,0.0,0.0,0.0001,False
lstm_run_20260522_092821,15d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0701,0.0629,0.0789,False
lstm_run_20260522_092821,15d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0301,0.0348,0.0332,False
lstm_run_20260522_092821,15d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0961,0.1741,0.111,False
lstm_run_20260522_092821,15d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0781,,0.0878,False
lstm_run_20260522_092821,15d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.2008,0.4358,0.2643,False
lstm_run_20260522_092821,15d,per_beach,platja-marina,Marina,,10.0,0.0482,0.0638,0.0641,False
lstm_run_20260522_092821,15d,per_beach,cala-agulla,Cala Agulla,,8.0,0.0601,,0.0763,False
lstm_run_20260522_092821,15d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1767,0.2182,0.1861,False
lstm_run_20260522_092821,15d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.0116,0.0194,0.0181,False
lstm_run_20260522_092821,15d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0711,0.1364,0.1157,False
lstm_run_20260522_092821,15d,per_beach,es-pujols,Es Pujols,,30.0,0.0519,0.0828,0.0633,False
lstm_run_20260522_092821,15d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0248,0.0358,0.0363,False
lstm_run_20260522_092821,15d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0326,0.0696,0.0484,False
lstm_run_20260522_092821,15d,per_beach,marina,Marina,,10.0,0.0619,0.0456,0.0469,False
lstm_run_20260522_092821,15d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.0452,,0.0502,False
lstm_run_20260522_092821,15d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1429,0.1826,0.1711,False
lstm_run_20260522_092821,15d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0034,0.0024,0.0033,False
lstm_run_20260522_092821,15d,per_beach,port,Port,,6.0,0.0196,0.0285,0.0286,False
lstm_run_20260522_092821,15d,per_beach,cala-gat,Cala Gat,,4.0,0.1444,,,False
lstm_run_20260522_092821,15d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.1553,,,False
lstm_run_20260522_092821,15d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1391,,0.1296,False
lstm_run_20260522_092821,15d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0849,,0.1082,False
lstm_run_20260522_092821,15d,per_beach,port-pollenca,Port Pollença,,34.0,0.046,,0.0435,False
lstm_run_20260522_092821,15d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0145,,,False
lstm_run_20260522_092821,15d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0087,,0.0141,False
lstm_run_20260522_092821,15d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1706,,0.2023,False
tft_20260323_180247,3d,OVERALL,ALL,,,,0.0479,0.0619,0.056,False
tft_20260323_180247,3d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.0707,,0.0738,False
tft_20260323_180247,3d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.0618,0.0768,0.0693,False
tft_20260323_180247,3d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.0718,,0.0718,False
tft_20260323_180247,3d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0124,,0.0139,False
tft_20260323_180247,3d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0397,0.0508,0.0459,False
tft_20260323_180247,3d,per_beach,port-dandratx,Brismar,,41.0,0.0449,0.0482,0.0458,False
tft_20260323_180247,3d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0228,0.0264,0.0259,False
tft_20260323_180247,3d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.1033,0.1022,0.1033,False
tft_20260323_180247,3d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0447,0.0733,0.054,False
tft_20260323_180247,3d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.1429,0.1505,0.1429,False
tft_20260323_180247,3d,per_beach,port-dandratx_2,Brismar,,288.0,0.0988,,0.0841,False
tft_20260323_180247,3d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0382,0.0326,0.0378,False
tft_20260323_180247,3d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0497,,0.054,False
tft_20260323_180247,3d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0622,0.0586,0.0566,False
tft_20260323_180247,3d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.023,0.0374,0.0236,False
tft_20260323_180247,3d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.0715,0.0654,0.0681,False
tft_20260323_180247,3d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0474,,0.0169,False
tft_20260323_180247,3d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0274,,0.0379,False
tft_20260323_180247,3d,per_beach,andratx,Brismar,,0.0,0.0,0.0,0.0,False
tft_20260323_180247,3d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0458,0.037,0.0477,False
tft_20260323_180247,3d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0256,0.0281,0.0284,False
tft_20260323_180247,3d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0557,0.075,0.0617,False
tft_20260323_180247,3d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.058,,0.0637,False
tft_20260323_180247,3d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.1023,0.172,0.1374,False
tft_20260323_180247,3d,per_beach,platja-marina,Marina,,10.0,0.0331,0.0463,0.0431,False
tft_20260323_180247,3d,per_beach,cala-agulla,Cala Agulla,,8.0,0.05,,0.0605,False
tft_20260323_180247,3d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1037,0.1414,0.1099,False
tft_20260323_180247,3d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.0098,0.0163,0.0151,False
tft_20260323_180247,3d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0404,0.0778,0.0639,False
tft_20260323_180247,3d,per_beach,es-pujols,Es Pujols,,30.0,0.0378,0.058,0.0465,False
tft_20260323_180247,3d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0173,0.0241,0.0242,False
tft_20260323_180247,3d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.028,0.055,0.039,False
tft_20260323_180247,3d,per_beach,marina,Marina,,10.0,0.0441,0.0338,0.0398,False
tft_20260323_180247,3d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.037,,0.0431,False
tft_20260323_180247,3d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1147,0.1564,0.1404,False
tft_20260323_180247,3d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0022,0.0026,0.0025,False
tft_20260323_180247,3d,per_beach,port,Port,,6.0,0.0174,0.0248,0.0259,False
tft_20260323_180247,3d,per_beach,cala-gat,Cala Gat,,4.0,0.0532,,,False
tft_20260323_180247,3d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.061,,,False
tft_20260323_180247,3d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1046,,0.1003,False
tft_20260323_180247,3d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0724,,0.0863,False
tft_20260323_180247,3d,per_beach,port-pollenca,Port Pollença,,34.0,0.0377,,0.037,False
tft_20260323_180247,3d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0372,,0.3529,False
tft_20260323_180247,3d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0218,,0.013,False
tft_20260323_180247,3d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1161,,0.1585,False
tft_20260323_180247,10d,OVERALL,ALL,,,,0.0576,0.0794,0.0687,False
tft_20260323_180247,10d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.069,,0.0752,False
tft_20260323_180247,10d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.0769,0.1002,0.0912,False
tft_20260323_180247,10d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.0971,,0.0971,False
tft_20260323_180247,10d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0133,,0.0161,False
tft_20260323_180247,10d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0401,0.0525,0.0466,False
tft_20260323_180247,10d,per_beach,port-dandratx,Brismar,,41.0,0.0505,0.0552,0.0513,False
tft_20260323_180247,10d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0254,0.025,0.0288,False
tft_20260323_180247,10d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.1378,0.1559,0.1378,False
tft_20260323_180247,10d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0607,0.1059,0.0776,False
tft_20260323_180247,10d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.1667,0.1744,0.1667,False
tft_20260323_180247,10d,per_beach,port-dandratx_2,Brismar,,288.0,0.1209,,0.1239,False
tft_20260323_180247,10d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0421,0.0378,0.0421,False
tft_20260323_180247,10d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0499,,0.0591,False
tft_20260323_180247,10d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0727,0.0781,0.0696,False
tft_20260323_180247,10d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0259,0.0418,0.0279,False
tft_20260323_180247,10d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.0948,0.0869,0.0918,False
tft_20260323_180247,10d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0364,,,False
tft_20260323_180247,10d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0243,,0.0311,False
tft_20260323_180247,10d,per_beach,andratx,Brismar,,0.0,0.0,0.0,0.0,False
tft_20260323_180247,10d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0522,0.0395,0.0568,False
tft_20260323_180247,10d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0282,0.0302,0.0311,False
tft_20260323_180247,10d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0646,0.0886,0.0706,False
tft_20260323_180247,10d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0711,,0.0831,False
tft_20260323_180247,10d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.1436,0.2727,0.1791,False
tft_20260323_180247,10d,per_beach,platja-marina,Marina,,10.0,0.036,0.0541,0.0473,False
tft_20260323_180247,10d,per_beach,cala-agulla,Cala Agulla,,8.0,0.0548,,0.0644,False
tft_20260323_180247,10d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1403,0.1922,0.1517,False
tft_20260323_180247,10d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.0115,0.0172,0.0167,False
tft_20260323_180247,10d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0516,0.0911,0.0843,False
tft_20260323_180247,10d,per_beach,es-pujols,Es Pujols,,30.0,0.0428,0.0742,0.0533,False
tft_20260323_180247,10d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0211,0.0392,0.0295,False
tft_20260323_180247,10d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0352,0.0839,0.0518,False
tft_20260323_180247,10d,per_beach,marina,Marina,,10.0,0.0467,0.0344,0.0431,False
tft_20260323_180247,10d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.0405,,0.0476,False
tft_20260323_180247,10d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1357,0.1817,0.1738,False
tft_20260323_180247,10d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.004,0.0081,0.0053,False
tft_20260323_180247,10d,per_beach,port,Port,,6.0,0.0177,0.0237,0.0259,False
tft_20260323_180247,10d,per_beach,cala-gat,Cala Gat,,4.0,0.0827,,,False
tft_20260323_180247,10d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.1166,,,False
tft_20260323_180247,10d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1489,,0.1098,False
tft_20260323_180247,10d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0712,,0.0845,False
tft_20260323_180247,10d,per_beach,port-pollenca,Port Pollença,,34.0,0.0541,,0.0355,False
tft_20260323_180247,10d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0332,,,False
tft_20260323_180247,10d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0229,,,False
